taxa	trait1
Janthinobacterium_agaricidamnosum-_-HG322949--_DSM_9628_wT	28
Herbaspirillum_lusitanum-_-AF543312--_P6-12_T	28
Herbaspirillum_hiltneri-_-DQ150563--_N3_T	30
Noviherbaspirillum_massiliense-_-JN657219--_JC206_T	37
Oxalobacter_formigenes-_-U49757--_OXB_T	37
Achromobacter_xylosoxidans-_-Y14908--_DSM_10346_T	37
Achromobacter_denitrificans-_-AJ278451--_DSM_30026_-T-_T	37
Bordetella_holmesii-_-U04820--_CDC_F5101_T	37
Bordetella_pertussis-_-HE965805--_18323_T	37
Bordetella_petrii-_-AM902716--_DSM_12804_T	37
Bordetella_hinzii-_-AF177667--_LMG_13501T_T	37
Bordetella_avium-_-AF177666--_ATCC_35086_T	37
Alcaligenes_faecalis_subsp._faecalis-_-D88008--_IAM12369_T	37
Advenella_mimigardefordensis-_-AY880023--_DPN7_T	28
Advenella_kashmirensis_subsp._kashmirensis-_-AJ864470--_WT001_T	29
Taylorella_equigenitalis-_-X68645--_NCTC_11184-_N480/82-_N610/88_T	37
Oligella_urethralis-_-AF133538--_CIP_103116_T	37
Oligella_ureolytica-_-AREM01000088--_DSM_18253_T	37
Basilea_psittacipulmonis-_-JX412111--_DSM24701_T	37
Paraburkholderia_phytofirmans-_-AY497470--_PsJN_T	30
Paraburkholderia_xenovorans-_-CP000270--_LB400_T	30
Paraburkholderia_phenoliruptrix-_-AY435213--_AC1100_T	24
Paraburkholderia_oxyphila-_-AB682297--_NBRC_105797_T	28
Paraburkholderia_unamae-_-AY221956--_MTl-641_T	30
Paraburkholderia_heleia-_-AB537486--_NBRC_101817_T	17
Paraburkholderia_silvatlantica-_-AY965240--_SRMrh-20_T	30
Paraburkholderia_kururiensis-_-AB024310--_KP23T_LTP__T	30
Paraburkholderia_acidipaludis-_-AB513180--_SA33_T	17
Paraburkholderia_terrae-_-AB201285--_KMY02_T	28
Mycetohabitans_rhizoxinica-_-AJ938142--_HKI_454_T	28
Burkholderia_cepacia-_-U96927--_ATCC_25416T_T	28
Burkholderia_seminalis-_-AM747631--_R-24196_T	30
Burkholderia_ambifaria-_-AF043302--_AMMD_T	30
Burkholderia_dolosa-_-HQ849079--_LMG_18943_T	37
Burkholderia_vietnamiensis-_-AF097534--_LMG_10929_T	37
Burkholderia_multivorans-_-Y18703--_LMG_13010T_T	28
Burkholderia_glumae-_-AMRF01000003--_LMG_2196_T	28
Burkholderia_gladioli-_-EU024168--_CIP_105410_T	121
Burkholderia_oklahomensis-_-DQ108388--_C6786_T	37
Burkholderia_thailandensis-_-U91838--_E264_T	25
Burkholderia_pseudomallei-_-DQ108392--_ATCC_23343_T	37
Lautropia_mirabilis-_-AEQP01000026--_ATCC_51599_T	37
Cupriavidus_necator-_-CP002878--_N-1_T	26
Cupriavidus_oxalaticus-_-AB680453--_NBRC_13593_T	28
Cupriavidus_pinatubonensis-_-AB121221--_1245_T	30
Wautersia_numazuensis-_-AB681139--_NBRC_100056_T	25
Cupriavidus_basilensis-_-AF312022--_DSM_11853_T	30
Cupriavidus_taiwanensis-_-AF300324--_LMG_19424_T	28
Cupriavidus_metallidurans-_-CP000353--_CH34_T	30
Ralstonia_pickettii-_-AY741342--_ATCC_27511_T	30
Ralstonia_solanacearum-_-EF016361--_LMG_2299_T	28
Polynucleobacter_asymbioticus-_-AJ879783--_QLW-P1DMWA-1_T	28
Polynucleobacter_necessarius-_-AM397067--_T	20
Neisseria_sicca-_-ACKO02000016--_ATCC_29256_T	37
Neisseria_macacae-_-AJ247243--_ATCC_33926_T	37
Neisseria_mucosa-_-AJ247257--_ATCC_19696_T	36
Neisseria_lactamica-_-AJ239286--_NCTC10617_T	36
Neisseria_gonorrhoeae-_-X07714--_NCTC_83785_T	36
Neisseria_polysaccharea-_-ADBE01000137--_ATCC_43768_T	37
Neisseria_meningitidis-_-AJ247244--_DSM_10036_T	37
Neisseria_cinerea-_-ACDY02000019--_ATCC_14685_T	30
Neisseria_subflava-_-AJ239291--_U37_T	36
Neisseria_weaveri-_-AFWQ01000032--_LMG_5135_T	37
Eikenella_corrodens-_-AB525415--_JCM_12952_T	36
Kingella_denitrificans-_-AEWV01000047--_ATCC_33394_T	37
Neisseria_elongata_subsp._glycolytica-_-ADBF01000003--_ATCC_29315_T	37
Simonsiella_muelleri-_-CP019448--_ATCC_29453_n_T	37
Kingella_kingae-_-AY551999--_ATCC_23330_T	37
Kingella_oralis-_-ACJW02000005--_ATCC_51147_T	37
Neisseria_shayeganii-_-FJ654664--_WC_08-871_T	37
Neisseria_wadsworthii-_-AGAZ01000083--_9715_T	37
Snodgrassella_alvi-_-JQ746651--_wkB2_T	37
Chromobacterium_violaceum-_-AB680302--_NBRC_12614_T	22
Chromobacterium_haemolyticum-_-DQ785104--_MDA0585_T	37
Pseudogulbenkiania_subflava-_-EF626692--_KMU-BP-5_T	28
Chitinilyticum_litopenaei-_-EU682455--_c1_T	35
Chitinimonas_koreensis-_-ATZZ01000044--_DSM_17726_T	28
Leeia_oryzae-_-AQXU01000006--_DSM_17879_T	33
Thiobacillus_denitrificans-_-AQWL01000003--_DSM_12475_T	30
Thiobacillus_thioparus-_-ARDU01000017--_DSM_505_T	26
Methylotenera_versatilis-_-CP002056--_301_T	25
Sulfuricella_denitrificans-_-AP013066--_skB26_T	22
Nitrosomonas_europaea-_-HE862405--_ATCC_25978_T	25
Nitrosospira_multiformis-_-CP000103--_ATCC_25196_T	28
Sulfuritalea_hydrogenivorans-_-AP012547--_DSM22779_n_T	25
Methyloversatilis_universalis-_-AFHG01000027--_FAM5_T	28
Azonexus_hydrophilus-_-EF158390--_d8-1_T	28
Azonexus_fungiphilus-_-AF011350--_BS5-8_T	28
Rhodocyclus_tenuis-_-D16208--_DSM109_T	25
Azospira_oryzae-_-AF011347--_6a3_T	37
Uliginosibacterium_gangwonense-_-DQ665916--_5YN10-9_T	28
Thauera_aminoaromatica-_-AJ315677--_S2_=_DSM_14742_T	30
Thauera_phenylacetica-_-AJ315678--_B4P_=_DSM_14743_T	30
Thauera_butanivorans-_-AB681922--_NBRC_103042_T	28
Thauera_linaloolentis-_-AMXE01000135--_47Lol_=_DSM_12138_T	30
Thauera_terpenica-_-ATJV01000095--_58Eu_T	30
Aromatoleum_toluolicum-_-AF129465--_T_s_T	28
Aromatoleum_aromaticum-_-X83531--_EbN1_T	26
Azoarcus_communis-_-AF011343--_SWub3_T	28
Tepidiphilus_margaritifer-_-AJ504663--_N2-214_T	50
Xanthomonas_cassavae-_-Y10762--_LMG_673_T_T	28
Xanthomonas_campestris-_-AE008922--_ATCC_33913_T	25
Xanthomonas_vesicatoria-_-Y10761--_LMG_911_T_T	28
Stenotrophomonas_pictorum-_-AB021392--_ATCC_23328_T	28
Stenotrophomonas_maltophilia-_-AB294553--_IAM_12423_T	35
Luteimonas_huabeiensis-_-JX658136--_HB2_T	37
Thermomonas_hydrothermalis-_-AF542054--_SGM-6_T	37
Thermomonas_haemolytica-_-AJ300185--_A50-7-3_T	37
Lysobacter_dokdonensis-_-EF100698--_DS-58_T	28
Silanimonas_lenta-_-AUBD01000010--_DSM_16282_T	37
Silanimonas_mangrovi-_-HE573746--_AK13_T	10
Lysobacter_arseniciresistens-_-HQ315827--_ZS79_T	28
Lysobacter_defluvii-_-AM283465--_IMMIB_APB-9_T	22
Arenimonas_oryziterrae-_-ATVD01000003--_DSM_21050_T	28
Arenimonas_composti-_-AUFF01000019--_DSM_18010_T	30
Arenimonas_metalli-_-HQ698842--_CF5-1_T	28
Rhodanobacter_spathiphylli-_-AM087226--_B39_T	30
Rhodanobacter_fulvus-_-AJXU01000048--_Jip2_T	28
Rhodanobacter_thiooxydans-_-AB286179--_LCS2_T	28
Luteibacter_rhizovicinus-_-AJ580498--_LJ96_T	28
Methylocaldum_gracile-_-U89298--_VKM-14L_T	45
Methylogaea_oryzae-_-EU672873--_E10_T	30
Thiohalospira_halophila-_-DQ469576--_HL3_T	30
Thioalkalivibrio_nitratireducens-_-CP003989--_DSM_14787_T	30
Thioalkalivibrio_paradoxus-_-AF151432--_ARh1_T	30
Thioalkalivibrio_thiocyanodenitrificans-_-AY360060--_ARhD_1_T	28
Thioalkalivibrio_sulfidiphilus-_-EU709878--_HL-EbGR7_T	35
Ectothiorhodospira_shaposhnikovii-_-M59151--_strain_Kondratieva_N1_LTP__T	0
Halorhodospira_halophila-_-CP000544--_SL1_T	25
Halorhodospira_abdelmalekii-_-X93477--_DSM_2110_T	0
Halorhodospira_halochloris-_-FR749892--_DSM_1059_T	0
Alkalilimnicola_ehrlichii-_-AF406554--_MLHE-1_T	30
Arhodomonas_aquaeolei-_-M26631--_ATCC_49307-_HA-1-_CIP_103913_T	37
Nitrococcus_mobilis-_-HM038001--_Nb-231_T	27.5
Salinisphaera_dokdonensis-_-EF988634--_CL-ES53_T	28
Salinisphaera_shabanensis-_-AJ421425--_E1L3A_LTP__T	28
Salinisphaera_japonica-_-AB735546--_YTM-1_T	4
Salinisphaera_halophila-_-JN020587--_YIM_95161_T	28
Salinisphaera_orenii-_-HM137558--_MK-B5_T	10
Nitrosococcus_oceani-_-AY690336--_C-107-_ATCC_19707_T	28
Acidithiobacillus_thiooxidans-_-AFOH01000120--_ATCC_19377_T	25
Acidithiobacillus_ferrivorans-_-AF376020--_NO-37_T	25
Acidithiobacillus_ferrooxidans-_-CP001219--_ATCC_23270_T	30
Acidithiobacillus_caldus-_-CP005986--_ATCC_51756_T	45
Algiphilus_aromaticivorans-_-DQ486493--_DG1253_T	28
Methylohalobius_crimeensis-_-AJ581837--_10Ki_T	30
Litoreibacter_arenae-_-AONI01000015--_DSM_19593_T	28
Octadecabacter_antarcticus-_-CP003740--_307_T	4
Pseudophaeobacter_arcticus-_-DQ514304--_20188_T	20
Phaeobacter_gallaeciensis-_-Y13244--_BS107T_T	25
Phaeobacter_inhibens-_-AY177712--_T5_T	25
Leisingera_methylohalidivorans-_-AY005463--_MB2_T	20
Sedimentitalea_nanhaiensis-_-FJ232451--_NH52F_T	28
Leisingera_daeponensis-_-DQ981486--_TF-218_T	37
Leisingera_caerulea-_-AM943630--_LMG_24369_T	20
Ruegeria_lacuscaerulensis-_-ACNX01000027--_ITI-1157_T	45
Ruegeria_litorea-_-HE860713--_R37T_T	30
Ruegeria_mediterranea-_-HE860710--_M17T_T	30
Pseudodonghicola_xiamenensis-_-DQ120728--_Y-2_T	28
Salipiger_mucosus-_-APVH01000038--_DSM_16094_T	30
Sediminimonas_qiaohouensis-_-AUIJ01000020--_DSM_21189_T	28
Roseivivax_halodurans-_-JALZ01000099--_JCM_10272_T	28
Roseivivax_isoporae-_-JAME01000086--_LMG_25204_T	25
Pseudooceanicola_batsensis-_-AAMO01000005--_HTCC2597_T	30
Pseudooceanicola_nanhaiensis-_-JHZF01000008--_DSM_18065_T	30
Roseovarius_mucosus-_-AJ534215--_DFL-24_T	28
Roseovarius_nubinhibens-_-AALY01000002--_ISM_T	30
Roseibacterium_elongatum-_-CP004372--_DFL-43_wl?_n_wlDSM_19469_T	28
Dinoroseobacter_shibae-_-CP000830--_DFL_12_T	33
Rhodovulum_sulfidophilum-_-BASI01000001--_DSM_1374_T	25
Actibacterium_mucosum-_-HE590855--_CECT_7668_T	30
Profundibacterium_mesophilum-_-JF776971--_KAUST100406-0324_T	15
Roseobacter_denitrificans-_-L01784--_OCh114_T	20
Roseobacter_litoralis-_-CP002623--_Och_149_T	20
Sulfitobacter_donghicola-_-EF202614--_DSW-25_T	25
Limimaricola_hongkongensis-_-AY600300--_UST950701-009P_T	28
Limimaricola_cinnabarinus-_-AB688112--_LL-001_T	30
Oceanicola_granulosus-_-AY424896--_HTCC2516_T	28
Rubellimicrobium_mesophilum-_-EF547368--_MSL_20_T	28
Rubellimicrobium_thermophilum-_-AJ844281--_C-lvk-R2A-2_T	48.5
Epibacterium_mobile-_-AB255401--_NBRC_101030_T	27.5
Paracoccus_zeaxanthinifaciens-_-AF461158--_ATCC_21588_T	27.5
Paracoccus_denitrificans-_-Y16927--_ATCC_17741T_T	27.5
Paracoccus_aminophilus-_-AY014176--_ATCC_49673_T	27.5
Rhodobaca_bogoriensis-_-AF248638--_LBB1_T	35
Phaeovulum_veldkampii-_-D16421--_ATCC35703_T	25
Pseudorhodobacter_ferrugineus-_-ATVN01000030--_DSM_5888_T	26
Fuscovulum_blasticum-_-DQ342322--_ATCC_33485-_KC2138_T	30
Cereibacter_changlensis-_-AM399030--_JA139_T	5
Gemmobacter_nectariphilus-_-AUCM01000052--_DSM_15620_T	30
Thioclava_pacifica-_-AUND01000024--_DSM_10166_T	28
Brevundimonas_vesicularis-_-AJ227780--_LMG_2350_-T-_T	37
Brevundimonas_aveniformis-_-AUAO01000001--_DSM_17977_T	25
Brevundimonas_subvibrioides-_-AJ227784--_LMG_14903T_T	30
Brevundimonas_diminuta-_-ADUI01000302--_ATCC_11568_T	26
Asticcacaulis_excentricus-_-AJ247194--_DSM_4724-T-_T	30
Phenylobacterium_composti-_-EU022524--_4T-6_T	28
Caulobacter_vibrioides-_-AJ009957--_CB51_T	30
Brevundimonas_abyssalis-_-AB688113--_TAR-001_T	2
Henriciella_marina-_-AQXT01000002--_DSM_19595_T	28
Ponticaulis_koreensis-_-ATVJ01000005--_DSM_19734_T	28
Hirschia_maritima-_-ARKC01000006--_DSM_19733_T	28
Hirschia_baltica-_-CP001678--_ATCC_49814_T	28
Hellea_balneolensis-_-AUAC01000004--_DSM_19091_T	28
Parvularcula_bermudensis-_-CP002156--_HTCC2503_T	30
Oceanicaulis_alexandrii-_-ATUP01000002--_DSM_11625_T	30
Woodsholea_maritima-_-AJ578476--_CM243_T	30
Sphingomonas_echinoides-_-AHIR01000060--_ATCC_14820_T	30
Zymomonas_mobilis_subsp._pomaceae-_-AF281032--_ATCC29192_T	28
Rhizorhabdus_wittichii-_-AB021492--_DSM_6014_T	30
Sandarakinorhabdus_limnophila-_-ATVO01000004--_DSM_17366_T	15
Sphingomonas_changbaiensis-_-EU682685--_V2M44_T	28
Sphingomonas_astaxanthinifaciens-_-AB681719--_NBRC_102146_T	37
Sphingobium_indicum-_-CP013071--_B90A_T	30
Sphingobium_quisquiliarum-_-ATHO01000107--_P25_T	28
Sphingobium_baderi-_-JN695620--_LL03_T	28
Sphingobium_ummariense-_-EF207155--_RL-3_T	5
Sphingobium_lactosutens-_-ATDP01000087--_DS20_T	20
Rhizorhapis_suberifaciens-_-AB680813--_NBRC_15211_T	28
Sphingopyxis_granuli-_-AY563034--_Kw07_T	28
Novosphingopyxis_baekryungensis-_-AY608604--_SW-150_T	27.5
Sphingorhabdus_marina-_-DQ781320--_FR1087_T	30
Novosphingobium_aromaticivorans-_-CP000248--_DSM_12444_T	30
Novosphingobium_subterraneum-_-AB025014--_IFO_16086_T	22
Caenibius_tardaugens-_-BASZ01000029--_NBRC_16725_T	28
Novosphingobium_acidiphilum-_-AUBA01000045--_DSM_19966_T	28
Novosphingobium_nitrogenifigens-_-DQ448852--_Y88_T	28
Novosphingobium_stygium-_-AB025013--_IFO_16085_T	22
Novosphingobium_barchaimii-_-JN695619--_LL02_T	28
Novosphingobium_pentaromativorans-_-AF502400--_US6-1_T	30
Erythrobacter_longus-_-AF465835--_DSM_6997_T	28
Porphyrobacter_neustonensis-_-AB033327--_DSM_9434_T	28
Erythrobacter_litoralis-_-AF465836--_DSM_8509_T	30
Roseibium_aggregatum-_-AAUW01000023--_IAM_12614_T	28
Roseibium_alexandrii-_-AJ582083--_DFL-11_T	30
Parvibaculum_lavamentivorans-_-CP000774--_DS-1_T	30
Methylorubrum_populi-_-AY251818--_BJ001-_ATCC_BAA-705-_NCIMB_13946_T	20
Methylobacterium_nodulans-_-CP001349--_ORS_2060_T	30
Methylobacterium_radiotolerans-_-CP001001--_JCM_2831_T	28
Methylobacterium_oryzae-_-AY683045--_CBMB20_T	28
Methylobacterium_komagatae-_-AB252201--_002-079_T	28
Methylobacterium_organophilum-_-AB175638--_ATCC_27886_T	30
Microvirga_flocculans-_-AB098515--_TFB_T	43
Salinarimonas_rosea-_-AUBC01000058--_DSM_21201_T	28
Bosea_massiliensis-_-AF288309--_63287_T	28
Bosea_eneae-_-AF288300--_34614_T	28
Bosea_vestrisii-_-AF288306--_34635_T	28
Beijerinckia_indica_subsp._indica-_-CP001016--_ATCC_9039_T	20
Methylocella_silvestris-_-CP001280--_BL2_T	20
Methyloferula_stellata-_-ARWA01000001--_AR4T_T	23
Methylocapsa_acidiphila-_-ATYA01000006--_B2_T	30
Methylocystis_rosea-_-AJ414656--_SV97_T	28
Methylosinus_sporium-_-Y18946--_NCIMB_11126_T	25
Methylocystis_echinoides-_-AJ458473--_IMET_10491_T	28
Bradyrhizobium_oligotrophicum-_-JQ619230--_LMG_10732_T	28
Nitrobacter_hamburgensis-_-L11663--_X14_T	28
Afipia_felis-_-AGWZ01000001--_ATCC_53690_T	30
Afipia_clevelandensis-_-M69186--_B-91-007353_T	28
Afipia_birgiae-_-AF288304--_34632_T	28
Afipia_broomeae-_-AGWX01000001--_ATCC_49717_T	28
Afipia_massiliensis-_-AY029562--_34633-_CIP_107022-_CCUG_45153_T	28
Ancylobacter_novellus-_-CP002026--_DSM_506_T	28
Azorhizobium_caulinodans-_-D11342--_ORS_571_T	30
Labrys_methylaminiphilus-_-AB236172--_DSM_16812_T	28
Kaistia_granuli-_-AB244762--_Ko04_T	24
Kaistia_soli-_-EF592609--_5YN9-8_T	28
Pseudoxanthobacter_soli-_-EF465533--_CC4_T	28
Pleomorphomonas_oryzae-_-AUHB01000035--_DSM_16300_T	27
Neomegalonema_perideroedes-_-ARFG01000019--_DSM_15528_T	25
Hyphomicrobium_nitrativorans-_-JX131369--_NL23_T	15
Rhodomicrobium_vannielii-_-CP002292--_ATCC_17100_T	25
Rhodomicrobium_udaipurense-_-FN995218--_JA643_T	10
Afifella_marina-_-D30790--_DSM_2698_T	25
Afifella_pfennigii-_-EU445271--_AR_2102_T	28
Lutibaculum_baratangense-_-FN297835--_AMV1_T	25
Rhizobium_etli-_-CP000133--_CFN_42_T	30
Rhizobium_phaseoli-_-EF141340--_ATCC_14482_T	26
Rhizobium_freirei-_-EU488742--_PRF_81_T	25
Rhizobium_tropici-_-U89832--_CIAT_899-_USDA_9030_T	30
Rhizobium_leucaenae-_-X67234--_LMG_9517_T	28
Rhizobium_mesoamericanum-_-JF424606--_CCGE_501_T	30
Rhizobium_endophyticum-_-EU867317--_CCGE2052_T	30
Rhizobium_grahamii-_-JF424608--_CCGE_502_T	28
Rhizobium_soli-_-EF363715--_DS-42_T	4
Pseudorhizobium_banfieldiae-_-AF159453--_NT-26_T	28
Aureimonas_ureilytica-_-DQ883810--_5715S-12_T	28
Aureimonas_altamirensis-_-DQ372921--_S21B_T	28
Aurantimonas_coralicida-_-ATXK01000033--_DSM_14790_T	28
Aurantimonas_manganoxydans-_-U53824--_SI85-9A1_T	28
Martelella_mediterranea-_-AY649762--_MACL11_T	28
Agrobacterium_radiobacter-_-AB247615--_IAM_12048_T	30
Agrobacterium_tomkonis-_-JABXYF000000000--_IIF1SW-B1_T	30
Agrobacterium_fabacearum-_-MN741112--_CNPSo_675_T	30
Allorhizobium_vitis-_-U45329--_NCPPB3554_T	30
Allorhizobium_taibaishanense-_-HM776997--_CCNWSX_0483_T	30
Ensifer_sojae-_-GU593061--_CCBAU_05684_T	30
Ensifer_meliloti-_-D14509--_IAM_12611_T	25
Ensifer_arboris-_-ATYB01000014--_LMG_14919_T	30
Brucella_microti-_-CP001579--_CCM_4915_T	25
Brucella_intermedia-_-U70978--_LMG_3301_T	30
Bartonella_tribocorum-_-AM260525--_506_=_CIP_105476_T	37
Bartonella_alsatica-_-AIME01000002--_IBS_382_T	37
Bartonella_birtlesii-_-AKIP01000005--_IBS_325_T	37
Bartonella_doshiae-_-AILV01000006--_NCTC_12862_T	37
Bartonella_rattaustraliani-_-EU111749--_AUST/NH4_T	30
Bartonella_koehlerae-_-AF076237--_C-29-_ATCC_700693_T	37
Bartonella_henselae-_-BX897699--_Houston-1_T	37
Bartonella_bovis-_-AGWA01000019--_91-4_T	37
Bartonella_rochalimae-_-DQ683196--_BMGH_T	37
Hoeflea_phototrophica-_-ABIA02000018--_DFL-43_T	31
Ahrensia_kielensis-_-ARFW01000012--_DSM_5890_T	26
Nitratireductor_basaltis-_-EU143347--_J3_T	15
Mesorhizobium_alhagi-_-AHAM01000052--_CCNWXJ12-2_T	28
Nitratireductor_aquibiodomus-_-AF534573--_NL21_T	28
Nitratireductor_kimnyeongensis-_-AM498744--_KY_101_=_JBRI2113_T	28
Devosia_insulae-_-EF012357--_DS-56_T	25
Pelagibacterium_halotolerans-_-CP003075--_B2_T	28
Cucumibacter_marinus-_-AUCR01000008--_DSM_18995_T	28
Kordiimonas_gwangyangensis-_-AY682384--_GW14-5_T	35
Kiloniella_laminariae-_-AM749667--_LD81_T	20
Rickettsia_sibirica-_-D38628--_ATCCVR151_T	35
Rickettsia_peacockii-_-U55820--_Skalkaho_T	37
Rickettsia_rickettsii-_-L36217--_R_T	37
Rickettsia_rhipicephali-_-L36216--_3-7-6_T	34
Rickettsia_prowazekii-_-M21789--_Brein1_T	37
Acetobacter_persici-_-AB665070--_T-120_T	30
Acetobacter_nitrogenifigens-_-AY669513--_RG1_T	30
Acetobacter_aceti-_-X74066--_NCIB8621-_DSM3508_T	30
Acetobacter_pasteurianus-_-X71863--_NBRC_106471_LTP__T	30
Acetobacter_papayae-_-AB665066--_1-25_T	30
Acetobacter_okinawensis-_-AB665068--_1-35_T	30
Gluconobacter_roseus-_-AB178429--_NBRC_3990_T	25
Gluconobacter_thailandicus-_-AB128050--_F149-1_T	30
Gluconobacter_morbifer-_-EU409602--_G707_T	30
Saccharibacter_floricola-_-ARJS01000016--_DSM_15669_T	28
Commensalibacter_intestini-_-EU409601--_A911_T	30
Asaia_platycodi-_-AB485739--_T-683_T	28
Asaia_bogorensis-_-AB681074--_NBRC_16594_T	30
Asaia_prunellae-_-AB485741--_T-153_T	28
Asaia_astilbis-_-AB485740--_T-6133_T	28
Komagataeibacter_kakiaceti-_-AB607833--_G5-1_T	28
Komagataeibacter_europaeus-_-Z21936--_DSM6160_T	28
Komagataeibacter_sucrofermentans-_-AJ007698--_BPR_2001_T	28
Komagataeibacter_kombuchae-_-AY688433--_RG3_T	30
Komagataeibacter_hansenii-_-X75620--_NCIB8746-_LMG1527_T	30
Gluconacetobacter_diazotrophicus-_-X75618--_ATCC49037-_LMG7603_T	30
Granulibacter_bethesdensis-_-AY788950--_CGDNIH1_T	35
Roseomonas_aerilata-_-EF661571--_5420S-30_T	30
Roseomonas_stagni-_-AB369258--_HS-69_-=_JCM_15034-_T	30
Elioraea_tepidiphila-_-ARKI01000023--_DSM_17972_T	50
Geminicoccus_roseus-_-ATYL01000002--_DSM_18922_T	30
Reyranella_massiliensis-_-EF394922--_521_T	32
Thalassobaculum_litoreum-_-EF203900--_CL-GR58_T	28
Nisaea_denitrificans-_-DQ665838--_DR41_21_T	30
Oceanibaculum_indicum-_-EU656113--_P24_T	10
Azospirillum_lipoferum-_-GU256441--_DSM_1691_T	30
Azospirillum_halopraeferens-_-X79731--_Au4_T	30
Skermanella_aerolata-_-DQ672568--_5416T-32_T	28
Skermanella_stibiiresistens-_-HQ315828--_SB22_T	4
Magnetospirillum_gryphiswaldense-_-AM085146--_MSR-1_T	30
Magnetospirillum_molischianum-_-FR733695--_DSM120_T	25
Tistlia_consotensis-_-EU728658--_USBA_355_T	28
Fodinicurvata_sediminis-_-ATVH01000016--_DSM_21159_T	28
Rhodospirillum_rubrum-_-CP000230--_ATCC_11170_T	25
Pararhodospirillum_photometricum-_-HE663493--_DSM_122_T	28
Phaeovibrio_sulfidiphilus-_-FN391894--_JA480_T	30
Roseospira_marina-_-AJ298879--_CE2105_T	30
Caenispirillum_salinarum-_-FN995238--_AK4_T	30
Thalassospira_tepidiphila-_-AB265822--_1-1B_T	30
Thalassospira_xiamenensis-_-AY189753--_M-5_T	25
Thalassospira_xianhensis-_-EU017546--_P-4_T	10
Thalassospira_lucentensis-_-AM294944--_DSM_14000_T	13
Rhodothalassium_salexigens-_-D14431--_ATCC35888_T	30
Magnetococcus_marinus-_-CP000471--_MC-1_T	5
Denitrovibrio_acetiphilus-_-AF146526--_N2460_T	35
Calditerrivibrio_nitroreducens-_-CP002347--_DSM_19672_T	55
Deferribacter_desulfuricans-_-AP011529--_SSM1_T	60
Flexistipes_sinusarabici-_-M59231--_DSM_4947_T	45
Desulfurispirillum_indicum-_-DQ991965--_S5_T	28
Chrysiogenes_arsenatis-_-X81319--_BAL-1_T	28
Campylobacter_avium-_-EU623473--_86/06_T	37
Campylobacter_upsaliensis-_-AY621113--_ATCC_43954_T	39.5
Campylobacter_cuniculorum-_-DQ400345--_150B_T	37
Campylobacter_insulaenigrae-_-AJ620504--_NCTC_12927_T	37
Campylobacter_jejuni_subsp._jejuni-_-AIOL01000061--_ATCC_33560_T	37
Campylobacter_jejuni-_-KF541294--_ATCC_33560_T	37
Campylobacter_lanienae-_-AF043425--_NCTC_13004_T	37
Campylobacter_fetus_subsp._testudinum-_-AY621303--_03-427_T	37
Campylobacter_fetus_subsp._venerealis-_-AFGH01000002--_NCTC_10354_T	37
Campylobacter_curvus-_-AQXN01000003--_DSM_6644_T	37
Campylobacter_concisus-_-DQ174166--_ATCC_33237_T	37
Campylobacter_rectus-_-AB595133--_JCM_6301_T	37
Campylobacter_gracilis-_-DQ174168--_ATCC_33236_T	37
Campylobacter_hominis-_-CP000776--_ATCC_BAA-381_T	37
Campylobacter_ureolyticus-_-ARGD01000016--_DSM_20703_T	37
Sulfurospirillum_halorespirans-_-AF218076--_PCE-M2_T	30
Sulfurospirillum_multivorans-_-X82931--_K_T	25
Sulfurospirillum_barnesii-_-AF038843--_SES-3_T	30
Sulfurospirillum_deleyianum-_-CP001816--_DSM_6946_T	28
Arcobacter_thereius-_-AY314753--_16389_T	28
Arcobacter_skirrowii-_-L14625--_CCUG_10374_T	35
Arcobacter_butzleri-_-AY621116--_ATCC_49616_T	26
Arcobacter_nitrofigilis-_-CP001999--_DSM_7299_T	25
Arcobacter_mytili-_-EU669904--_F2075_T	37
Sulfurimonas_autotrophica-_-CP002205--_DSM_16294_T	24
Sulfurimonas_denitrificans-_-CP000153--_DSM_1251_T	20
Sulfurimonas_gotlandica-_-AFRZ01000001--_GD1_T	15
Sulfuricurvum_kujiense-_-AB053951--_YK-1_T	25
Nitratifractor_salsuginis-_-CP002452--_DSM_16511_T	37
Helicobacter_mehlei-_-MH854509--_L15_T	37
Helicobacter_felis-_-M57398--_CS1-_ATCC_49179_T	37
Helicobacter_bizzozeronii-_-Y09404--_CCUG_35045_T	37
Helicobacter_suis-_-ADGY01000105--_HS1_T	37
Helicobacter_pylori-_-U01330--_ATCC_43504_LTP__T	37
Helicobacter_acinonychis-_-M88148--_Eaton_90-119-3_T	37
Helicobacter_pullorum-_-AY631956--_ATCC_51801_T	37
Helicobacter_cinaedi-_-M88150--_CCUG_18818_T	37
Helicobacter_mustelae-_-M35048--_ATCC_43772_T	37
Wolinella_succinogenes-_-M88159--_ATCC_29543_T	37
Nitratiruptor_tergarcus-_-AB175499--_MI55-1_T	55
Caminibacter_mediatlanticus-_-ABCJ01000006--_TB-2_T	55
Nautilia_profundicola-_-AF357197--_AmH_T	45
Nautilia_nitratireducens-_-FJ532475--_EPR-MB1_T	25
Thioreductor_micantisoli-_-AB175498--_BKB25Ts-Y_T	32
Desulfurella_acetivorans-_-X72768--_DSM_5264_T	55
Hippea_maritima-_-CP002606--_DSM_10411_T	52
Hippea_alviniae-_-FR754500--_EP5-r_T	65
