"tip_label"	"accesion"	"taxid"
"'DQ205450, Xenorhabdus koppenhoeferi, Xenorhabdus koppenhoeferi, (DQ205450), USNJ01 T'"	"DQ205450"	351659
"'DQ211710, Xenorhabdus griffiniae, Xenorhabdus griffiniae, (DQ211710), ID10 T'"	"DQ211710"	351672
"'AY521244, Xenorhabdus cabanillasii, Xenorhabdus cabanillasii, (AY521244), USTX62 T'"	"AY521244"	351673
"'DQ211713, Xenorhabdus miraniensis, Xenorhabdus miraniensis, (DQ211713), Q1 T'"	"DQ211713"	351674
"'DQ211715, Xenorhabdus mauleonii, Xenorhabdus mauleonii, (DQ211715), VC01 T'"	"DQ211715"	351675
"'DQ211716, Xenorhabdus kozodoii, Xenorhabdus kozodoii, (DQ211716), SaV T'"	"DQ211716"	351676
"'DQ211717, Xenorhabdus romanii, Xenorhabdus romanii, (DQ211717), PR06-A T'"	"DQ211717"	351677
"'DQ211719, Xenorhabdus hominickii, Xenorhabdus hominickii, (DQ211719), KE01 T'"	"DQ211719"	351679
"'AB565480, Pyramidobacter piscolens, Pyramidobacter piscolens, (AB565480), JCM 16336 T'"	"AB565480"	352165
"'AB238789, Shinella zoogloeoides, Shinella zoogloeoides, (AB238789), IAM 12669 T'"	"AB238789"	352475
"'DQ235272, Nocardia gamkensis, Nocardia gamkensis, (DQ235272), CZH20 T'"	"DQ235272"	352869
"'DQ235228, Pedobacter sandarakinus, Pedobacter sandarakinus, (DQ235228), DS-27 T'"	"DQ235228"	353156
"'DQ221694, Caldalkalibacillus uzonensis, Caldalkalibacillus uzonensis, (DQ221694), JW/WZ-YB58 T'"	"DQ221694"	353224
"'FM165076, Mycoplasma nasistruthionis, Mycoplasma nasistruthionis, (FM165076), 2F1A T'"	"FM165076"	353852
"'DQ239766, Arenimonas malthae, Arenimonas malthae, (DQ239766), CC-JY-1 T'"	"DQ239766"	354197
"'AB239529, Mechercharimyces mesophilus, Mechercharimyces mesophilus, (AB239529), YM3-251 (= MBIC06230) T'"	"AB239529"	354237
"'AB239532, Mechercharimyces asporophorigenens, Mechercharimyces asporophorigenens, (AB239532), YM11-542 (= MBIC06487) T'"	"AB239532"	354240
"'AB239925, Mycobacterium kumamotonense, Mycobacterium kumamotonense, (AB239925), CST7274 (= GTC2729) T'"	"AB239925"	354243
"'AM117931, Spongiispira norvegica, Spongiispira norvegica, (AM117931), Gp_4_7.1 LTP [T] T'"	"AM117931"	354245
"'AM180485, Pseudochrobactrum asaccharolyticum, Pseudochrobactrum asaccharolyticum, (AM180485), CCUG 46016 T'"	"AM180485"	354351
"'AM180484, Pseudochrobactrum saccharolyticum, Pseudochrobactrum saccharolyticum, (AM180484), CCUG 33852 T'"	"AM180484"	354352
"'DQ244076, Niastella yeongjuensis, Niastella yeongjuensis, (DQ244076), GR20-13 T'"	"DQ244076"	354355
"'DQ246623, Herbidospora yilanensis, Herbidospora yilanensis, (DQ246623), 0351M-12 T'"	"DQ246623"	354426
"'DQ234446, Mucilaginibacter lappiensis, Mucilaginibacter lappiensis, (DQ234446), ANJLI2 T'"	"DQ234446"	354630
"'AM156910, Amphritea atlantica, Amphritea atlantica, (AM156910), M41 T'"	"AM156910"	355243
"'CP000777, Leptospira biflexa, Leptospira biflexa, (CP000777), Patoc 1 (Ames) T'"	"CP000777"	355278
"'AB663359, Halobacterium jilantaiense, Halobacterium jilantaiense, (AB663359), JCM 13558 T'"	"AB663359"	355548
"'DQ235263, Marinobacter vinifirmus, Marinobacter vinifirmus, (DQ235263), FB1 T'"	"DQ235263"	355591
"'DQ256087, Microcella alkalica, Microcella alkalica, (DQ256087), KSL-113 T'"	"DQ256087"	355930
"'DQ235687, Nocardia ninae, Nocardia ninae, (DQ235687), OFN 02.72 T'"	"DQ235687"	356145
"'DQ235688, Nocardia coubleae, Nocardia coubleae, (DQ235688), OFN N11 T'"	"DQ235688"	356147
"'DQ256729, Chryseobacterium wanjuense, Chryseobacterium wanjuense, (DQ256729), R2A10-2 T'"	"DQ256729"	356305
"'DQ266255, Heliorestis convoluta, Heliorestis convoluta, (DQ266255), HH  T'"	"DQ266255"	356322
"'DQ280367, Peribacillus kribbensis, Peribacillus kribbensis, (DQ280367), BT080 T'"	"DQ280367"	356658
"'DQ280368, Halomonas kribbensis, Halomonas kribbensis, (DQ280368), BH843 T'"	"DQ280368"	356659
"'DQ280370, Albimonas donghaensis, Albimonas donghaensis, (DQ280370), DS2 T'"	"DQ280370"	356660
"'AB241454, Micromonospora chokoriensis, Micromonospora chokoriensis, (AB241454), 2-19(6) T'"	"AB241454"	356851
"'AB241455, Micromonospora coxensis, Micromonospora coxensis, (AB241455), 2-30-b(28) T'"	"AB241455"	356852
"'DQ273688, Franconibacter helveticus, Franconibacter helveticus, (DQ273688), LMG 23732 T'"	"DQ273688"	357240
"'AM158249, Levilactobacillus parabrevis, Levilactobacillus parabrevis, (AM158249), LMG 11984 T'"	"AM158249"	357278
"'GU983697, Enterococcus lactis, Enterococcus lactis, (GU983697), BT159 T'"	"GU983697"	357441
"'KF621060, Enterococcus xinjiangensis, Enterococcus xinjiangensis, (KF621060), 48 T'"	"KF621060"	357441
"'AB440636, Bartonella silvatica, Bartonella silvatica, (AB440636), Fuji 23-1 T'"	"AB440636"	357760
"'AB440632, Bartonella japonica, Bartonella japonica, (AB440632), Fuji 18-1 T'"	"AB440632"	357761
"'CP000510, Psychromonas ingrahamii, Psychromonas ingrahamii, (CP000510), 37 T'"	"CP000510"	357804
"'CP000885, Clostridium phytofermentans, Clostridium phytofermentans, (CP000885), ISDg T'"	"CP000885"	357809
"'AM158322, Sporomusa rhizae, Sporomusa rhizae, (AM158322), RS T'"	"AM158322"	357999
"'AM158906, Brevibacterium oceani, Brevibacterium oceani, (AM158906), BBH7 T'"	"AM158906"	358099
"'AM158907, Microbacterium indicum, Microbacterium indicum, (AM158907), BBH6 T'"	"AM158907"	358100
"'DQ298025, Rheinheimera chironomi, Rheinheimera chironomi, (DQ298025), K19414 T'"	"DQ298025"	358592
"'AM159183, Chryseobacterium hispanicum, Chryseobacterium hispanicum, (AM159183), VP48 T'"	"AM159183"	358687
"'DQ282122, Nocardia harenae, Nocardia harenae, (DQ282122), WS-26 T'"	"DQ282122"	358707
"'DQ279736, Enterocloster aldenensis, Enterocloster aldenensis, (DQ279736), RMA 9741 T'"	"DQ279736"	358742
"'DQ279737, Enterocloster citroniae, Enterocloster citroniae, (DQ279737), RMA 16102 T'"	"DQ279737"	358743
"'DQ285420, Actinomadura rudentiformis, Actinomadura rudentiformis, (DQ285420), HMC1 T'"	"DQ285420"	359158
"'DQ285421, Nonomuraea candida, Nonomuraea candida, (DQ285421), HMC10 T'"	"DQ285421"	359159
"'AB242868, Marinomonas ostreistagni, Marinomonas ostreistagni, (AB242868), UST010306-043 T'"	"AB242868"	359209
"'AB243007, Smaragdicoccus niigatensis, Smaragdicoccus niigatensis, (AB243007), Hou_blue (= MBIC 06267) T'"	"AB243007"	359359
"'AB243859, Sporosarcina saromensis, Sporosarcina saromensis, (AB243859), HG645 T'"	"AB243859"	359365
"'JX986954, Xanthomonas alfalfae subsp. alfalfae, Xanthomonas alfalfae subsp. alfalfae, (JX986954), LMG 495 T'"	"JX986954"	359387
"'DQ291142, Paenibacillus sepulcri, Paenibacillus sepulcri, (DQ291142), CCM 7311; LMG 19508 T'"	"DQ291142"	359917
"'AM162406, Zavarzinella formosa, Zavarzinella formosa, (AM162406), A10 T'"	"AM162406"	360055
"'AM162407, Schlesneria paludicola, Schlesneria paludicola, (AM162407), MPL7 T'"	"AM162407"	360056
"'DQ291145, Lentzea kentuckyensis, Lentzea kentuckyensis, (DQ291145), NRRL B-24416 T'"	"DQ291145"	360086
"'CP000776, Campylobacter hominis, Campylobacter hominis, (CP000776), ATCC BAA-381 T'"	"CP000776"	360107
"'AB243865, Halobacillus faecis, Halobacillus faecis, (AB243865), IGA7-4 T'"	"AB243865"	360184
"'AB682134, Amphibacillus sediminis, Amphibacillus sediminis, (AB682134), NBRC 103570 T'"	"AB682134"	360185
"'DQ295795, Francisella noatunensis subsp. noatunensis, Francisella noatunensis subsp. noatunensis, (DQ295795), 2005/50/F292-6C T'"	"DQ295795"	360196
"'DQ295805, Tepidicella xavieri, Tepidicella xavieri, (DQ295805), TU-16 T'"	"DQ295805"	360241
"'DQ296030, Humidesulfovibrio arcti, Humidesulfovibrio arcti, (DQ296030), B15 T'"	"DQ296030"	360296
"'AB243672, Bellilinea caldifistulae, Bellilinea caldifistulae, (AB243672), GOMI-1 LTP [T] T'"	"AB243672"	360411
"'AB243673, Longilinea arvoryzae, Longilinea arvoryzae, (AB243673), KOME-1 LTP [T] T'"	"AB243673"	360412
"'DQ296031, Clostridium tagluense, Clostridium tagluense, (DQ296031), A121 T'"	"DQ296031"	360422
"'DQ303125, Devosia soli, Devosia soli, (DQ303125), GH2-10 T'"	"DQ303125"	361041
"'DQ302104, Rubritalea marina, Rubritalea marina, (DQ302104), Pol012 T'"	"DQ302104"	361055
"'DQ304436, Altererythrobacter epoxidivorans, Altererythrobacter epoxidivorans, (DQ304436), JCS350 T'"	"DQ304436"	361183
"'AB243845, Terribacillus saccharophilus, Terribacillus saccharophilus, (AB243845), 002-048 T'"	"AB243845"	361277
"'AB243849, Terribacillus halophilus, Terribacillus halophilus, (AB243849), 002-051 T'"	"AB243849"	361279
"'AB243851, Virgibacillus halophilus, Virgibacillus halophilus, (AB243851), 5B73C T'"	"AB243851"	361280
"'DQ234901, Tindallia texcoconensis, Tindallia texcoconensis, (DQ234901), IMP-300 T'"	"DQ234901"	361365
"'AM176528, Anaerococcus degeneri, Anaerococcus degeneri, (AM176528), gpac104 T'"	"AM176528"	361500
"'AM411030, Tenacibaculum discolor, Tenacibaculum discolor, (AM411030), LL0411.1.1 T'"	"AM411030"	361581
"'AM998804, Helicobacter equorum, Helicobacter equorum, (AM998804), CCUG 52199 T'"	"AM998804"	361872
"'DQ309072, Paenibacillus soli, Paenibacillus soli, (DQ309072), DCY03 T'"	"DQ309072"	361876
"'DQ311081, Streptomyces vietnamensis, Streptomyces vietnamensis, (DQ311081), GIMV4.0001 T'"	"DQ311081"	362257
"'AM177392, Flavobacterium aquidurense, Flavobacterium aquidurense, (AM177392), WB 1.1-56 T'"	"AM177392"	362413
"'AM177616, Flavobacterium reichenbachii, Flavobacterium reichenbachii, (AM177616), WB 3.2-61 T'"	"AM177616"	362418
"'DQ314581, Chitinilyticum aquatile, Chitinilyticum aquatile, (DQ314581), c14 T'"	"DQ314581"	362520
"'DQ312294, Mariniflexile gromovii, Mariniflexile gromovii, (DQ312294), KMM 6038 T'"	"DQ312294"	362523
"'AM181507, Microbacterium thalassium, Microbacterium thalassium, (AM181507), DSM 12511 T'"	"AM181507"	362649
"'DQ314760, Tenacibaculum aestuarii, Tenacibaculum aestuarii, (DQ314760), SMK-4 T'"	"DQ314760"	362781
"'DQ861914, Spiroplasma cantharicola, Spiroplasma cantharicola, (DQ861914), CC-1 T'"	"DQ861914"	362837
"'AB244762, Kaistia granuli, Kaistia granuli, (AB244762), Ko04 T'"	"AB244762"	363259
"'AB244764, Sphingobacterium composti, Sphingobacterium composti, (AB244764), T5-12 T'"	"AB244764"	363260
"'DQ318789, Chryseobacterium taiwanense, Chryseobacterium taiwanense, (DQ318789), BCRC 17412 T'"	"DQ318789"	363331
"'DQ321750, Nakamurella flavida, Nakamurella flavida, (DQ321750), DS-52 T'"	"DQ321750"	363630
"'DQ335215, Brevundimonas terrae, Brevundimonas terrae, (DQ335215), KSL-145 T'"	"DQ335215"	363631
"'EU488742, Rhizobium freirei, Rhizobium freirei, (EU488742), PRF 81 T'"	"EU488742"	363754
"'AB245334, Solirubrobacter soli, Solirubrobacter soli, (AB245334), Gsoil 355 T'"	"AB245334"	363832
"'AB245347, Sphingomonas ginsengisoli, Sphingomonas ginsengisoli, (AB245347), Gsoil 634 T'"	"AB245347"	363835
"'AB245374, Chitinophaga ginsengisoli, Chitinophaga ginsengisoli, (AB245374), Gsoil 052 T'"	"AB245374"	363837
"'AB245343, Sphingopyxis ginsengisoli, Sphingopyxis ginsengisoli, (AB245343), Gsoil 250 T'"	"AB245343"	363839
"'AB245352, Inquilinus ginsengisoli, Inquilinus ginsengisoli, (AB245352), Gsoil 080 T'"	"AB245352"	363840
"'AB245353, Sphingopyxis panaciterrae, Sphingopyxis panaciterrae, (AB245353), Gsoil 124 T'"	"AB245353"	363841
"'AB245355, Polaromonas ginsengisoli, Polaromonas ginsengisoli, (AB245355), Gsoil 115 T'"	"AB245355"	363842
"'AB245356, Rhizobacter fulvus, Rhizobacter fulvus, (AB245356), Gsoil 322 T'"	"AB245356"	363843
"'AB245358, Variovorax ginsengisoli, Variovorax ginsengisoli, (AB245358), Gsoil 3165 T'"	"AB245358"	363844
"'AB245362, Dokdonella ginsengisoli, Dokdonella ginsengisoli, (AB245362), Gsoil 191 T'"	"AB245362"	363846
"'AB245363, Lysobacter ginsengisoli, Lysobacter ginsengisoli, (AB245363), Gsoil 357 T'"	"AB245363"	363847
"'AB245367, Dyella ginsengisoli, Dyella ginsengisoli, (AB245367), Gsoil 3046 T'"	"AB245367"	363848
"'AB245368, Pedobacter panaciterrae, Pedobacter panaciterrae, (AB245368), Gsoil 042 T'"	"AB245368"	363849
"'AB245369, Dyadobacter ginsengisoli, Dyadobacter ginsengisoli, (AB245369), Gsoil 043 T'"	"AB245369"	363850
"'AB245370, Emticicia ginsengisoli, Emticicia ginsengisoli, (AB245370), Gsoil 085 T'"	"AB245370"	363851
"'AB245371, Pedobacter ginsengisoli, Pedobacter ginsengisoli, (AB245371), Gsoil 104 T'"	"AB245371"	363852
"'JN852949, Chryseobacterium ginsengisoli, Chryseobacterium ginsengisoli, (JN852949), DCY 63 T'"	"JN852949"	363853
"'AB245376, Brevibacillus ginsengisoli, Brevibacillus ginsengisoli, (AB245376), Gsoil 3088 T'"	"AB245376"	363854
"'AB245384, Paenibacillus panacisoli, Paenibacillus panacisoli, (AB245384), Gsoil 1411 T'"	"AB245384"	363858
"'AB245386, Paenibacillus pocheonensis, Paenibacillus pocheonensis, (AB245386), Gsoil 1138 T'"	"AB245386"	363860
"'AB245387, Aeromicrobium panaciterrae, Aeromicrobium panaciterrae, (AB245387), Gsoil 161 T'"	"AB245387"	363861
"'AB245388, Streptomyces panacagri, Streptomyces panacagri, (AB245388), Gsoil 519 T'"	"AB245388"	363862
"'AB245389, Microlunatus ginsengisoli, Microlunatus ginsengisoli, (AB245389), Gsoil 633 T'"	"AB245389"	363863
"'AB245391, Kribbella ginsengisoli, Kribbella ginsengisoli, (AB245391), Gsoil 001 T'"	"AB245391"	363865
"'AB245394, Aeromicrobium ginsengisoli, Aeromicrobium ginsengisoli, (AB245394), Gsoil 098 T'"	"AB245394"	363867
"'AB245396, Nocardioides ginsengisoli, Nocardioides ginsengisoli, (AB245396), Gsoil 1124 T'"	"AB245396"	363868
"'AB245377, Neobacillus pocheonensis, Neobacillus pocheonensis, (AB245377), Gsoil 420 T'"	"AB245377"	363869
"'AB245378, Weizmannia ginsengihumi, Weizmannia ginsengihumi, (AB245378), Gsoil 114 T'"	"AB245378"	363870
"'AB245380, Ectobacillus panaciterrae, Ectobacillus panaciterrae, (AB245380), Gsoil 1517 T'"	"AB245380"	363872
"'AB245359, Luteimonas panaciterrae, Luteimonas panaciterrae, (AB245359), Gsoil 068 T'"	"AB245359"	363885
"'AB245375, Tumebacillus ginsengisoli, Tumebacillus ginsengisoli, (AB245375), Gsoil 1105 T'"	"AB245375"	363888
"'DQ322069, Comamonas thiooxydans, Comamonas thiooxydans, (DQ322069), S23 T'"	"DQ322069"	363952
"'DQ322070, Chelatococcus sambhunathii, Chelatococcus sambhunathii, (DQ322070), HT4 T'"	"DQ322070"	363953
"'AB245481, Thiomonas delicata, Thiomonas delicata, (AB245481), NBRC 14566 T'"	"AB245481"	364030
"'AB245479, Sulfurivirga caldicuralii, Sulfurivirga caldicuralii, (AB245479), MM1 T'"	"AB245479"	364032
"'AB188124, Azohydromonas australica, Azohydromonas australica, (AB188124), IAM 12664 T'"	"AB188124"	364039
"'AY950663, Sphingosinicella xenopeptidilytica, Sphingosinicella xenopeptidilytica, (AY950663), 3-2W4 T'"	"AY950663"	364098
"'DQ339144, Pseudomonas pohangensis, Pseudomonas pohangensis, (DQ339144), H3-R18 T'"	"DQ339144"	364197
"'DQ342238, Pseudidiomarina homiensis, Pseudidiomarina homiensis, (DQ342238), PO-M2 T'"	"DQ342238"	364198
"'DQ342239, Paracoccus homiensis, Paracoccus homiensis, (DQ342239), DD-R11 T'"	"DQ342239"	364199
"'DQ344498, Cognatiyoonia koreensis, Cognatiyoonia koreensis, (DQ344498), GA2-M3 T'"	"DQ344498"	364200
"'AM180706, Rhodobium gokarnense, Rhodobium gokarnense, (AM180706), JA173 T'"	"AM180706"	364296
"'AM180707, Rhodovulum visakhapatnamense, Rhodovulum visakhapatnamense, (AM180707), JA181 T'"	"AM180707"	364297
"'AB681438, Ferrimonas kyonanensis, Ferrimonas kyonanensis, (AB681438), NBRC 101286 T'"	"AB681438"	364763
"'AB245515, Ferrimonas futtsuensis, Ferrimonas futtsuensis, (AB245515), FUT3661 T'"	"AB245515"	364764
"'DQ317411, Streptomyces gulbargensis, Streptomyces gulbargensis, (DQ317411), DAS131 T'"	"DQ317411"	364901
"'AB245933, Aureispira marina, Aureispira marina, (AB245933), 24 (= IAM 15389, = TISTR 1719) T'"	"AB245933"	365033
"'CP000529, Polaromonas naphthalenivorans, Polaromonas naphthalenivorans, (CP000529), CJ2 T'"	"CP000529"	365044
"'CP000245, Ramlibacter tataouinensis, Ramlibacter tataouinensis, (CP000245), TTB310 T'"	"CP000245"	365046
"'DQ333949, Salinicoccus salsiraiae, Salinicoccus salsiraiae, (DQ333949), RH-1 T'"	"DQ333949"	365049
"'AM180952, Marichromatium bheemlicum, Marichromatium bheemlicum, (AM180952), JA124 T'"	"AM180952"	365339
"'AM180953, Rhodovulum imhoffii, Rhodovulum imhoffii, (AM180953), JA125 T'"	"AM180953"	365340
"'AM181012, Sphingobium aromaticiconvertens, Sphingobium aromaticiconvertens, (AM181012), DSM 12677 T'"	"AM181012"	365341
"'DQ336714, Chryseobacterium caeni, Chryseobacterium caeni, (DQ336714), N4 T'"	"DQ336714"	365343
"'DQ333897, Paenisporosarcina quisquiliarum, Paenisporosarcina quisquiliarum, (DQ333897), SK 55 T'"	"DQ333897"	365346
"'LK391729, Pelosinus fermentans, Pelosinus fermentans, (LK391729), DSM 17108 T'"	"LK391729"	365349
"'DQ335125, Dyadobacter beijingensis, Dyadobacter beijingensis, (DQ335125), A54 T'"	"DQ335125"	365489
"'KX825919, Frankia discariae, Frankia discariae, (KX825919), BCU110501 T'"	"KX825919"	365528
"'AJ871428, Belnapia moabensis, Belnapia moabensis, (AJ871428), CP2C T'"	"AJ871428"	365533
"'AB205566, Shewanella hafniensis, Shewanella hafniensis, (AB205566), P010 T'"	"AB205566"	365590
"'AB681314, Shewanella morhuae, Shewanella morhuae, (AB681314), NBRC 100978 T'"	"AB681314"	365591
"'DQ338443, Paenibacillus forsythiae, Paenibacillus forsythiae, (DQ338443), T98 T'"	"DQ338443"	365616
"'DQ338444, Paenibacillus sabinae, Paenibacillus sabinae, (DQ338444), T27 T'"	"DQ338444"	365617
"'DQ339153, Pseudomonas delhiensis, Pseudomonas delhiensis, (DQ339153), RLD-1 T'"	"DQ339153"	366289
"'AB246781, Sulfurospirillum cavolei, Sulfurospirillum cavolei, (AB246781), Phe91 T'"	"AB246781"	366522
"'AB246747, Loktanella atrilutea, Loktanella atrilutea, (AB246747), IG8 (= IAM 15450, = NCIMB 14280) T'"	"AB246747"	366533
"'AB246748, Pseudovibrio japonicus, Pseudovibrio japonicus, (AB246748), WSF2 (= IAM 15442, = NCIMB 14279) T'"	"AB246748"	366534
"'DQ343294, Bowmanella denitrificans, Bowmanella denitrificans, (DQ343294), BD1 T'"	"DQ343294"	366582
"'DQ343154, Pseudonocardia oroxyli, Pseudonocardia oroxyli, (DQ343154), D10; CGMCC 4.3143 T'"	"DQ343154"	366584
"'JFGS01000070, Haematobacter missouriensis, Haematobacter missouriensis, (JFGS01000070), CCUG 52307 T'"	"JFGS01000070"	366616
"'DQ344485, Brevibacterium samyangense, Brevibacterium samyangense, (DQ344485), SST-8 T'"	"DQ344485"	366888
"'AM182404, Yersinia similis, Yersinia similis, (AM182404), Y228 T'"	"AM182404"	367190
"'DQ344632, Pseudonocardia ailaonensis, Pseudonocardia ailaonensis, (DQ344632), YIM 45505 T'"	"DQ344632"	367279
"'DQ344634, Deinococcus yunweiensis, Deinococcus yunweiensis, (DQ344634), YIM 007 T'"	"DQ344634"	367282
"'DQ345443, Phycicoccus jejuensis, Phycicoccus jejuensis, (DQ345443), KSW2-15 T'"	"DQ345443"	367299
"'AM182455, Treponema isoptericolens, Treponema isoptericolens, (AM182455), SPIT5 T'"	"AM182455"	367456
"'DQ348071, Ureibacillus composti, Ureibacillus composti, (DQ348071), HC145 T'"	"DQ348071"	367742
"'DQ348072, Ureibacillus thermophilus, Ureibacillus thermophilus, (DQ348072), HC148 T'"	"DQ348072"	367743
"'AB247554, Flammeovirga yaeyamensis, Flammeovirga yaeyamensis, (AB247554), NBRC 100898 T'"	"AB247554"	367791
"'DQ345779, Streptomyces tritolerans, Streptomyces tritolerans, (DQ345779), DAS 165 T'"	"DQ345779"	367827
"'DQ352839, Salinicoccus luteus, Salinicoccus luteus, (DQ352839), YIM 70202 T'"	"DQ352839"	367840
"'AP009256, Bifidobacterium adolescentis, Bifidobacterium adolescentis, (AP009256), ATCC 15703 T'"	"AP009256"	367928
"'CP000562, Methanoculleus marisnigri, Methanoculleus marisnigri, (CP000562), JR1 T'"	"CP000562"	368407
"'DQ358135, Morganella psychrotolerans, Morganella psychrotolerans, (DQ358135), U2/3 T'"	"DQ358135"	368603
"'DQ355814, Halorubrum lipolyticum, Halorubrum lipolyticum, (DQ355814), 9-3 T'"	"DQ355814"	368624
"'AM183347, Rheinheimera perlucida, Rheinheimera perlucida, (AM183347), BA131 T'"	"AM183347"	368811
"'KF772795, Alicyclobacillus tengchongensis, Alicyclobacillus tengchongensis, (KF772795), ACK006 T'"	"KF772795"	368812
"'DQ359731, Alkalibacillus halophilus, Alkalibacillus halophilus, (DQ359731), YIM 012 T'"	"DQ359731"	368977
"'AB248087, Paenibacillus terrigena, Paenibacillus terrigena, (AB248087), A35 T'"	"AB248087"	369333
"'DQ471303, Paenibacillus zanthoxyli, Paenibacillus zanthoxyli, (DQ471303), JH29 T'"	"DQ471303"	369399
"'DQ361033, Flaviramulus basaltis, Flaviramulus basaltis, (DQ361033), H35 T'"	"DQ361033"	369401
"'AY040617, Salinispora tropica, Salinispora tropica, (AY040617), CNB440 T'"	"AY040617"	369723
"'DQ364238, Hoeflea anabaenae, Hoeflea anabaenae, (DQ364238), WH2K T'"	"DQ364238"	369795
"'DQ364433, Methylocystis hirsuta, Methylocystis hirsuta, (DQ364433), CSC1 T'"	"DQ364433"	369798
"'DQ365810, Rickettsia conorii subsp. raoultii, Rickettsia conorii subsp. raoultii, (DQ365810), Khabarovsk T'"	"DQ365810"	369822
"'AB248535, Amycolatopsis echigonensis, Amycolatopsis echigonensis, (AB248535), LC2 T'"	"AB248535"	369930
"'AB248537, Amycolatopsis niigatensis, Amycolatopsis niigatensis, (AB248537), LC11 T'"	"AB248537"	369932
"'AB248526, Pseudarthrobacter niigatensis, Pseudarthrobacter niigatensis, (AB248526), LC4 T'"	"AB248526"	369935
"'AB248527, Arthrobacter alkaliphilus, Arthrobacter alkaliphilus, (AB248527), LC6 T'"	"AB248527"	369936
"'AB248531, Sinomonas echigonensis, Sinomonas echigonensis, (AB248531), LC10 T'"	"AB248531"	369940
"'AB248533, Sinomonas albida, Sinomonas albida, (AB248533), LC13 T'"	"AB248533"	369942
"'AM184185, Desulfotomaculum defluvii, Desulfotomaculum defluvii, (AM184185), A5LFS102 T'"	"AM184185"	369958
"'DQ365924, Oceanidesulfovibrio marinus, Oceanidesulfovibrio marinus, (DQ365924), E-2 T'"	"DQ365924"	370038
"'DQ365921, Brucella pseudintermedia, Brucella pseudintermedia, (DQ365921), ADV31 T'"	"DQ365921"	370111
"'DQ367242, Natrinema longum, Natrinema longum, (DQ367242), ABH32 T'"	"DQ367242"	370324
"'AP009389, Pelotomaculum thermopropionicum, Pelotomaculum thermopropionicum, (AP009389), SI T'"	"AP009389"	370438
"'DQ371431, Mesobacillus thioparans, Mesobacillus thioparans, (DQ371431), BMP-1 T'"	"DQ371431"	370439
"'DQ370008, Mycobacterium pallens, Mycobacterium pallens, (DQ370008), czh-8 T'"	"DQ370008"	370524
"'LT629971, Mycobacterium rutilum, Mycobacterium rutilum, (LT629971), DSM 45405 n[G] T'"	"LT629971"	370526
"'DQ372937, Zhihengliuella halotolerans, Zhihengliuella halotolerans, (DQ372937), YIM 70185 T'"	"DQ372937"	370736
"'AB248875, Microbacterium pygmaeum, Microbacterium pygmaeum, (AB248875), KV-490 T'"	"AB248875"	370764
"'AM229314, Halomonas gomseomensis, Halomonas gomseomensis, (AM229314), M12 T'"	"AM229314"	370766
"'AM229315, Halomonas janggokensis, Halomonas janggokensis, (AM229315), M24 T'"	"AM229315"	370767
"'AM229317, Halomonas denitrificans, Halomonas denitrificans, (AM229317), M29 T'"	"AM229317"	370769
"'AM229325, Arenimonas daejeonensis, Arenimonas daejeonensis, (AM229325), T7-07 T'"	"AM229325"	370777
"'AM229669, Sphingomonas mucosissima, Sphingomonas mucosissima, (AM229669), CP173-2 T'"	"AM229669"	370959
"'DQ372980, Runella defluvii, Runella defluvii, (DQ372980), EMB13 T'"	"DQ372980"	370973
"'DQ372982, Flavobacterium croceum, Flavobacterium croceum, (DQ372982), EMB47 T'"	"DQ372982"	370975
"'DQ372983, Hydrogenophaga caeni, Hydrogenophaga caeni, (DQ372983), EMB71 T'"	"DQ372983"	370976
"'DQ372985, Runella limosa, Runella limosa, (DQ372985), EMB111 T'"	"DQ372985"	370978
"'DQ372986, Flavobacterium defluvii, Flavobacterium defluvii, (DQ372986), EMB117 T'"	"DQ372986"	370979
"'DQ372987, Simplicispira limi, Simplicispira limi, (DQ372987), EMB325 T'"	"DQ372987"	370980
"'DQ374637, Gottfriedia acidiceler, Gottfriedia acidiceler, (DQ374637), CBD 119 T'"	"DQ374637"	371036
"'GU166291, Erwinia typographi, Erwinia typographi, (GU166291), Y1 T'"	"GU166291"	371042
"'AB249372, Sphingobacterium daejeonense, Sphingobacterium daejeonense, (AB249372), TR6-04 T'"	"AB249372"	371142
"'AM230658, Aerococcus suis, Aerococcus suis, (AM230658), 1821/02 T'"	"AM230658"	371602
"'DQ377947, Moryella indoligenes, Moryella indoligenes, (DQ377947), AIP 220.04 T'"	"DQ377947"	371674
"'DQ445790, Streptomyces monomycini, Streptomyces monomycini, (DQ445790), NRRL B-24309 T'"	"DQ445790"	371720
"'AB249954, Streptomyces malachitospinus, Streptomyces malachitospinus, (AB249954), NBRC 101004 T'"	"AB249954"	371722
"'DQ386307, Cohaesibacter gelatinilyticus, Cohaesibacter gelatinilyticus, (DQ386307), CL-GR15 T'"	"DQ386307"	372072
"'DQ386635, Oceanobacillus profundus, Oceanobacillus profundus, (DQ386635), CL-MP28 T'"	"DQ386635"	372463
"'EF211071, Sanguibacter antarcticus, Sanguibacter antarcticus, (EF211071), KOPRI 21702 T'"	"EF211071"	372484
"'DQ387958, Nocardiopsis terrae, Nocardiopsis terrae, (DQ387958), YIM 90022 T'"	"DQ387958"	372655
"'DQ387860, Isoptericola dokdonensis, Isoptericola dokdonensis, (DQ387860), DS-3 T'"	"DQ387860"	372663
